兼	手[11]
臾	手[13]
寺	手[15]
敢	手[17]
爲	手[26]
𦥑	手[24]
差	手[22]
反	手[20]
爰	手[29]
失	手[21]
彐	手[25]
更	手[27]
尚	京[06]
戶	京[04]
門	京[02]
宀	京[00]
囪	京[08]
亠	京[09]
广	京[01]
高	京[03]
京	京[05]
邑	京[07]
倉	京[14]
入	京[12]
六	京[10]
斥	京[11]
余	京[13]
享	京[15]
良	京[26]
㐭	京[24]
内	京[22]
穴	京[20]
嗇	京[28]
臺	京[29]
井	京[21]
舍	京[23]
亨	京[25]
乡	京[27]
㐄	止[06]
之	止[04]
夂	止[02]
止	止[00]
正	止[08]
前	止[09]
辵	止[01]
走	止[03]
足	止[05]
癶	止[07]
市	止[14]
舛	止[12]
步	止[10]
疑	止[11]
奔	止[13]
疋	止[15]
韋	止[26]
先	止[24]
夌	止[22]
出	止[20]
達	止[21]
單	工[06]
丁	工[04]
乍	工[02]
工	工[00]
壬	工[08]
制	工[09]
力	工[01]
斤	工[03]
业	工[05]
午	工[07]
畢	工[16]
瓦	工[14]
丈	工[12]
巩	工[10]
耒	工[11]
父	工[13]
帚	工[15]
傘	工[17]
离	工[26]
丂	工[24]
尺	工[22]
巨	工[20]
具	工[21]
彔	工[23]
革	工[25]
幵	工[27]
黽	虫[06]
巴	虫[04]
也	虫[02]
虫	虫[00]
禸	虫[08]
龜	虫[09]
貝	虫[01]
魚	虫[03]
辰	虫[05]
龍	虫[07]
蚤	虫[14]
它	虫[12]
求	虫[10]
串	虫[11]
責	虫[13]
贏	虫[15]
禹	虫[24]
萬	虫[22]
禺	虫[20]
朋	虫[21]
東	行[06]
重	行[04]
方	行[02]
行	行[00]
廴	行[08]
敖	行[09]
車	行[01]
舟	行[03]
爿	行[05]
几	行[07]
曹	行[14]
旁	行[12]
倝	行[10]
俞	行[13]
疒	行[15]
㫃	行[20]
朕	行[23]
片	行[25]
卓	行[27]
⺍	八[06]
爻	八[04]
小	八[02]
丶	八[00]
𠂆	八[09]
丿	八[01]
八	八[03]
乂	八[05]
彡	八[07]
少	八[12]
由	戈[06]
殳	戈[04]
我	戈[02]
戈	戈[00]
戔	戈[08]
干	戈[09]
弓	戈[01]
至	戈[03]
矢	戈[05]
弋	戈[07]
甲	戈[16]
矛	戈[14]
戌	戈[12]
戊	戈[10]
弗	戈[11]
晉	戈[13]
寅	戈[15]
尗	戈[17]
卑	戈[26]
克	戈[24]
戉	戈[22]
成	戈[20]
戎	戈[28]
盾	戈[29]
弟	戈[21]
必	戈[23]
𤰇	戈[25]
𢦏	戈[27]
⾂	""
